1001 Carrie        Morales       10713 View Wy.           Los Angeles                   CA   90097  75   5
1001                                                                                    CA          55   5
1001                                                                                    CA          25   5
1001                                                                                    CA          50   6
1001                                                                                    CA          65   9
1003 Tonya         Hawkins       19795 Ash Wy.            Hemet                         CA   92543  35   9
1004 Jerry         Marshall      15571 Second St.         Downey                        CA   90242  55   1
1004                                                                                    CA          70   1
1004                                                                                    CA          40   8
1004                                                                                    CA          90   10
1004                                                                                    CA          90   12
1007 James         Cunningham    12390 Poplar Dr.         McKinleyville                 CA   95519  95   4
1007                                                                                    CA          110  4
1007                                                                                    CA          55   5
1008 Jason         Mitchell      6207 10th Blvd.          Palo Verde                    CA   92266  60   3
1008                                                                                    CA          70   9
1010 Jamie         Peterson      13899 Forest Dr.         Darwin                        CA   93522  80   2
1010                                                                                    CA          75   2
1010                                                                                    CA          110  7
1010                                                                                    CA          105  8
1011 Danielle      Hunter        1654 13th St.            McKittrick                    CA   93251  75   8
1011                                                                                    CA          100  10
1012 Stephanie     Olson         15961 Laurel St.         Los Angeles                   CA   90045  70   5
1014 Jason         Butler        19225 Laurel Wy.         Moorefield                    NE   69039  100  1
1014                                                                                    NE          70   11
1016 Jonathan      Rodriguez     7174 Walnut Ct.          Los Angeles                   CA   90032  80   4
1016                                                                                    CA          20   8
1016                                                                                    CA          105  9
1017 Stephanie     Nelson        2387 6th Wy.             Salton City                   CA   92275  75   4
1018 Sharon        Harper        3086 Elm St.             El Cajon                      CA   92090  95   10
1018                                                                                    CA          95   12
1019 Bryan         Collins       16362 Chestnut Dr.       Los Angeles                   CA   90045  75   3
1019                                                                                    CA          90   5
1019                                                                                    CA          80   10
1022 Adam          Coleman       9032 Forest Wy.          Grandview                     WA   98930  75   4
1022                                                                                    WA          130  5
1023 Gregory       Phillips      17794 Fifth St.          Portland                      OR   97239  70   2
1023                                                                                    OR          95   6
1023                                                                                    OR          105  8
1023                                                                                    OR          85   11
1024 Melissa       Ellis         19087 Fourteenth St.     Lakewood                      OH   44107  75   5
1027 Dennis        Berry         19671 Hill Wy.           Mermentau                     LA   70556  80   2
1027                                                                                    LA          90   9
1028 Travis        Mason         17845 Central Wy.        Mountain Ranch                CA   95246  100  1
1029 Kevin         Andrews       8978 Lake Wy.            Miami                         FL   33189  120  3
1030 Joseph        Hicks         18495 11th St.           Blue Springs                  MO   64015  50   2
1030                                                                                    MO          70   3
1030                                                                                    MO          85   6
1030                                                                                    MO          80   11
1030                                                                                    MO          60   12
1032 April         Ross          14867 Main Dr.           Los Angeles                   CA   90073  140  1
1032                                                                                    CA          120  3
1032                                                                                    CA          100  11
1033 Joshua        Hughes        11266 Adams Dr.          Lynchburg                     VA   24505  45   2
1033                                                                                    VA          120  9
1033                                                                                    VA          115  12
1033                                                                                    VA          90   12
1033                                                                                    VA          50   12
1035 Angela        Price         422 Lakeview St.         Sioux City                    IA   51104  85   1
1035                                                                                    IA          5    6
1035                                                                                    IA          105  6
1035                                                                                    IA          110  7
1035                                                                                    IA          55   10
1036 Justin        Holmes        4640 15th St.            Palmdale                      CA   93591  25   2
1036                                                                                    CA          70   11
1036                                                                                    CA          75   11
1037 Robert        Clark         2095 Park St.            Creswell                      OR   97426  60   3
1037                                                                                    OR          65   5
1037                                                                                    OR          75   6
1038 Donald        Nichols       10866 9th Dr.            Long Beach                    CA   90845  10   5
1038                                                                                    CA          70   7
1038                                                                                    CA          130  12
1038                                                                                    CA          70   12
1039 Jason         White         1490 Lee Ct.             Stratford                     CA   93266  90   3
1039                                                                                    CA          155  3
1039                                                                                    CA          135  7
1039                                                                                    CA          105  8
1039                                                                                    CA          40   12
1040 Elizabeth     Olson         5312 Walnut Ct.          Brogan                        OR   97903  85   3
1042 Kelly         Anderson      2234 Center Wy.          Gold Run                      CA   95717  60   6
1042                                                                                    CA          40   6
1042                                                                                    CA          40   11
1045 Ronald        Turner        3836 Ninth Ct.           Los Angeles                   CA   90045  95   3
1045                                                                                    CA          10   5
1045                                                                                    CA          55   8
1045                                                                                    CA          105  9
1045                                                                                    CA          95   12
1046 Justin        Flores        10702 Laurel Dr.         Ventura                       CA   93009  45   5
1046                                                                                    CA          45   7
1046                                                                                    CA          75   9
1047 Lisa          Scott         6018 Miller St.          Milroy                        PA   17063  25   1
1047                                                                                    PA          95   4
1047                                                                                    PA          70   4
1047                                                                                    PA          100  11
1047                                                                                    PA          110  12
1049 Larry         Rodriguez     4885 View Dr.            Portland                      OR   97271  95   1
1049                                                                                    OR          95   8
1049                                                                                    OR          35   9
1049                                                                                    OR          80   10
1049                                                                                    OR          85   11
1050 Maria         King          1833 Lakeview St.        Burnside                      LA   70738  130  11
1051 Teresa        Ray           16616 Central St.        Crescent                      OR   97733  35   1
1051                                                                                    OR          120  6
1051                                                                                    OR          75   12
1052 Edward        Olson         19086 Park Wy.           Palm Springs                  CA   92292  80   1
1052                                                                                    CA          35   3
1052                                                                                    CA          75   5
1052                                                                                    CA          60   6
1052                                                                                    CA          70   10
1053 Jeffrey       Morgan        16604 West Wy.           Sunnyside                     WA   98944  90   11
1053                                                                                    WA          115  12
1056 Julie         Shaw          12549 Spring St.         Sacramento                    CA   95842  150  3
1056                                                                                    CA          125  3
1056                                                                                    CA          10   10
1058 Robin         Ramos         13972 Washington Wy.     McKenna                       WA   98558  60   2
1059 Gary          Ruiz          2552 Hillcrest Dr.       North Anson                   ME   04958  70   1
1059                                                                                    ME          130  3
1059                                                                                    ME          90   8
1059                                                                                    ME          40   9
1060 Sharon        Flores        12780 Mill Wy.           Cordova                       AK   99574  80   2
1060                                                                                    AK          85   4
1060                                                                                    AK          55   8
1060                                                                                    AK          90   11
1060                                                                                    AK          105  11
1063 Troy          Howard        17480 Oak Dr.            Shasta Lake                   CA   96079  105  7
1063                                                                                    CA          60   8
1063                                                                                    CA          35   10
1063                                                                                    CA          50   10
1065 Aaron         Ortiz         18855 Third St.          Blue Springs                  MO   64015  75   7
1067 Tiffany       Carter        9448 Fifteenth Ct.       Sacramento                    CA   95842  90   2
1067                                                                                    CA          50   2
1067                                                                                    CA          55   8
1067                                                                                    CA          50   8
1067                                                                                    CA          90   9
1068 Peter         Harris        16677 View Dr.           North San Juan                CA   95960  75   2
1068                                                                                    CA          120  5
1068                                                                                    CA          60   5
1068                                                                                    CA          75   8
1069 Patrick       Ortiz         2156 Central Wy.         Airway Heights                WA   99001  90   3
1069                                                                                    WA          50   3
1069                                                                                    WA          60   6
1069                                                                                    WA          80   7
1069                                                                                    WA          75   11
1070 Matthew       Andrews       3299 Ninth Wy.           Seattle                       WA   98141  135  4
1070                                                                                    WA          55   9
1070                                                                                    WA          65   10
1070                                                                                    WA          45   12
1073 George        Hicks         18132 Railroad Wy.       Dryden                        WA   98821  60   4
1073                                                                                    WA          90   5
1073                                                                                    WA          30   12
1073                                                                                    WA          100  12
1074 Donna         Torres        4243 Dogwood St.         Tacoma                        WA   98433  65   1
1074                                                                                    WA          35   12
1075 Joseph        Wright        8929 Locust Wy.          Alpine                        CA   91901  90   3
1075                                                                                    CA          75   4
1075                                                                                    CA          50   5
1078 Robin         Hamilton      10115 North St.          Seattle                       WA   98131  75   1
1078                                                                                    WA          55   4
1078                                                                                    WA          45   9
1079 Maria         Harris        8734 Lee Dr.             Honolulu                      HI   96804  135  2
1079                                                                                    HI          75   3
1080 Jessica       Thomas        15623 Davis Blvd.        Santa Barbara                 CA   93105  55   5
1080                                                                                    CA          75   10
1080                                                                                    CA          120  11
1080                                                                                    CA          110  11
1080                                                                                    CA          35   11
1081 Stephen       Watkins       4207 13th St.            Columbia                      SD   57433  65   1
1081                                                                                    SD          80   4
1081                                                                                    SD          30   11
1081                                                                                    SD          90   12
1082 Tonya         Morgan        670 Central Wy.          Los Angeles                   CA   90097  90   10
1083 Melanie       Shaw          4235 North Wy.           Pablo                         MT   59855  85   6
1083                                                                                    MT          30   6
1083                                                                                    MT          80   10
1083                                                                                    MT          50   12
1084 Lori          Wells         18177 Fifth Dr.          Hobart                        WA   98025  115  4
1084                                                                                    WA          105  12
1085 Paul          Myers         11958 Railroad Blvd.     San Francisco                 CA   94109  110  7
1087 Dennis        Gardner       262 Woodland St.         Walnut Creek                  CA   94597  80   3
1087                                                                                    CA          85   5
1087                                                                                    CA          85   11
1087                                                                                    CA          95   11
1087                                                                                    CA          15   12
1088 Robin         Freeman       19245 3rd Wy.            Arcata                        CA   95518  115  2
1088                                                                                    CA          25   5
1088                                                                                    CA          60   7
1089 April         Rivera        11879 South Wy.          Mermentau                     LA   70556  75   3
1089                                                                                    LA          75   3
1089                                                                                    LA          90   5
1089                                                                                    LA          45   11
1089                                                                                    LA          20   12
1090 Melanie       Rivera        18024 Tenth St.          Palmdale                      CA   93591  110  4
1090                                                                                    CA          90   12
1092 Keith         Anderson      2544 Central Dr.         Seattle                       WA   98199  70   7
1092                                                                                    WA          80   10
1094 Tonya         Ramirez       11309 13th St.           Menlo Park                    CA   94029  90   6
1094                                                                                    CA          85   8
1095 George        Diaz          2474 Spring Wy.          Hacienda Heights              CA   91745  100  9
1095                                                                                    CA          90   9
1095                                                                                    CA          70   10
