1001   0713 View Wy.         Los Angeles                   CA     90097
MICHELLE      MORALES        190
SANDRA        MORALES        65
KENNETH       MORALES        205
1022   032 Forest Wy.        Grandview                     Wa     98930
KENNETH       COLEMAN        405
RICHARD       COLEMAN        480
1027   9671 Hill Wy.         Mermentau                     LA     70556
JERRY         BERRY          475
SHANNON       SMITH          75
ROBERT        BERRY          190
RYAN          SMITH          90
1038   0866 9th Dr.          Long Beach                    ca     90845
TONYA         NICHOLS        500
1065   8855 Third St.        Blue Springs                  MO     64015
SANDRA        OLSON          200
STEPHANIE     OLSON          70
1123   0008 Valley Dr.       State Line                    IN     47982
JASON         MYERS          215
1131   900 Madison Dr.       Houston                       TX     77041
STEVEN        MITCHELL       230
1136   544 Tenth Dr.         Moraga                        CA     94575
JENNIFER      PARKER         310
SARAH         PARKER         195
STEPHEN       PARKER         65
1158   4226 Ninth Wy.        Long Beach                    CA     90810
SUSAN         PERRY          45
JULIE         PERRY          170
1160   2254 Highland St.     Stratford                     CA     93266
SEAN          REYES          320
1164   9776 6th Ct.          Kenyon                        Ri     2836
CARRIE        COX            160
SEAN          HILL           65
JULIE         COX            210
SCOTT         COX            225
1169   275 15th Dr.          Big Bear Lake                 CA     92315
JASON         SIMPSONSON     230
BRYAN         SIMPSON        225
1172   2189 Elm Wy.          Seattle                       WA     98131
MONICA        HOLMES         315
SHANE         WATSON         100
1176   5275 6th Wy.          Stebbins                      ak     99671
DENNIS        COOPER         25
1301   3390 Park St.         Seattle                       WA     98125
MONICA        DAVIS          350
1306   182 Sunset St.        Wilmington                    DE     19899
JOSHUA        WOODS          185
HOLLY         WOODS          135
1316   793 South St.         Independence                  Or     97351
CRAIG         WILLIAMS       230
1317   7152 Fifteenth Blvd.  Sacramento                    CA     95817
SUSAN         GRAHAM         90
1318   624 Elm Ct.           Rochester                     Wa     98579
NICOLE        MORGAN         355
1355   569 Third Wy.         State Line                    IN     47982
PETER         HALL           440
1374   5268 Fourteenth Blvd. Millwood                      KY     42762
BRYAN         WILSON         210
PATRICIA      WILSON         75
1378   704 Ridge Wy.         Oakland                       CA     94601
